Date,Close,High,Low,Open,Volume
10-06-2003,11.91695595,11.98600281,11.83512285,11.98600281,8389400
11-06-2003,12.02487564,12.02487564,11.71397631,11.91696056,8274400
12-06-2003,12.1918869,12.1918869,11.94008409,11.95036102,8487200
13-06-2003,12.16620255,12.22530006,12.07884223,12.17905043,6256000
16-06-2003,12.38459492,12.38459492,12.15334691,12.19188857,8161800
17-06-2003,12.12765408,12.42056759,12.019738,12.35890113,18057400
18-06-2003,12.07626057,12.140496,11.98890034,12.00174723,10643600
19-06-2003,11.85015678,12.05057208,11.80390718,12.0248773,10096200
20-06-2003,11.94008827,11.99147586,11.84501908,11.90668556,14901800
23-06-2003,12.01202869,12.02487559,11.76279484,11.89126574,10415200
24-06-2003,12.11993885,12.15334154,11.96577423,11.98633004,8915600
25-06-2003,11.98376751,12.19702971,11.97605957,12.12251634,9179400
26-06-2003,12.04542732,12.0608432,11.89383168,11.9477892,8056600
27-06-2003,11.95036125,12.13792961,11.92980642,12.03772149,6847400
30-06-2003,11.92466736,11.97605591,11.79105752,11.9092505,13898000
01-07-2003,11.94522476,11.98376544,11.79362906,11.8835583,11637800
02-07-2003,11.91695786,11.95292954,11.82959763,11.9349437,8860000
03-07-2003,11.87841702,11.93494451,11.79362675,11.85786218,6110800
07-07-2003,11.5495348,11.90925275,11.5495348,11.87842001,21706800
08-07-2003,11.36196709,11.54953449,11.33113336,11.54953449,23908400
09-07-2003,11.2746048,11.43390842,11.22321625,11.33113132,15254400
10-07-2003,11.3080101,11.39537037,11.25662252,11.30030216,12264000
11-07-2003,11.28231335,11.3337019,11.1384256,11.1384256,14111800
14-07-2003,11.37737846,11.49300243,11.31057405,11.34397675,14658800
15-07-2003,11.3028698,11.41592383,11.22835644,11.38252112,11134400
16-07-2003,11.02536964,11.34397782,10.86349608,11.16411841,20595200
17-07-2003,11.50071144,11.50328141,11.33626889,11.37737953,22579200
18-07-2003,11.53668594,11.55724078,11.41335303,11.54182392,14723800
21-07-2003,11.56238174,11.59835344,11.46988253,11.56238174,10212600
22-07-2003,11.58550167,11.6497371,11.49557246,11.61376542,8531800
23-07-2003,11.60605812,11.63946082,11.47758725,11.62661393,7824200
24-07-2003,11.43904591,11.7576531,11.43904591,11.61119639,8869800
25-07-2003,11.57265568,11.58036362,11.2540475,11.4364759,9610600
28-07-2003,11.467309,11.5469603,11.42105941,11.54182135,8532200
29-07-2003,11.52640629,11.63432135,11.39536546,11.49814254,11342000
30-07-2003,11.66001987,11.70369951,11.54182589,11.61377027,10619200
31-07-2003,11.5546751,11.8784214,11.5546751,11.68314602,13449000
01-08-2003,11.49814415,11.62404605,11.40821492,11.43390871,9515400
04-08-2003,11.53411961,11.58293919,11.36967698,11.43391244,6996200
05-08-2003,11.39793968,11.53411854,11.37481488,11.52384063,8277600
06-08-2003,11.33113194,11.42877008,11.2771744,11.34397981,8778400
07-08-2003,11.50585365,11.55210326,11.35168896,11.3825217,7603600
08-08-2003,11.52383709,11.55467081,11.4647406,11.53668496,6387000
11-08-2003,11.46474361,11.52384011,11.39023123,11.51099322,5639400
12-08-2003,11.47245312,11.51613276,11.3568291,11.51613276,7505200
13-08-2003,11.43648052,11.49557801,11.35682918,11.49557801,7626800
14-08-2003,11.5778017,11.60606449,11.42620595,11.48530247,7240000
15-08-2003,11.56494999,11.59321374,11.51356241,11.59321374,4643000
18-08-2003,11.52640629,11.58807176,11.50071153,11.56494696,6087800
19-08-2003,11.38252068,11.52897741,11.29002148,11.48786677,8300000
20-08-2003,11.27717304,11.31314473,11.21807656,11.30543679,7283800
21-08-2003,11.20522881,11.3542545,11.16925712,11.28745008,8552400
22-08-2003,11.12043858,11.32342279,11.09988375,11.24120151,9080800
25-08-2003,11.32342243,11.32342243,11.12043822,11.16411883,6703200
26-08-2003,11.36453724,11.43391165,11.21294152,11.26689907,7485000
27-08-2003,11.29516506,11.36453949,11.2412075,11.36453949,6206400
28-08-2003,11.2617588,11.29516053,11.19752336,11.23349505,7210000
29-08-2003,11.18210411,11.26432539,11.15640935,11.2283537,7710800
02-09-2003,11.248909,11.26689484,11.06905056,11.15897978,12356200
03-09-2003,11.2309227,11.32856083,11.17953416,11.24890854,13377400
04-09-2003,11.43391323,11.45703804,11.25662369,11.28231749,11328200
05-09-2003,11.34398365,11.51099527,11.29773404,11.43391291,7674400
08-09-2003,11.37481022,11.42619876,11.33112962,11.40821292,6593400
09-09-2003,11.39536476,11.51098873,11.30800454,11.3105745,8581200
10-09-2003,11.5495348,11.62661715,11.42877183,11.43647977,11486800
11-09-2003,11.48498249,11.66572657,11.46432656,11.65798072,11522200
12-09-2003,11.35846519,11.41526976,11.28100272,11.39203121,10193200
15-09-2003,11.23194885,11.35847009,11.224203,11.35847009,10719000
16-09-2003,11.08218193,11.13640585,10.98148192,11.12091316,18932800
17-09-2003,11.10541916,11.19320908,11.03054031,11.08218062,9438000
18-09-2003,11.257761,11.35846199,11.18546377,11.20612068,10341800
19-09-2003,11.14931583,11.26292592,11.13124152,11.25776169,11161200
22-09-2003,11.16480827,11.25517982,11.02537704,11.14931559,10950600
23-09-2003,11.21127987,11.26808538,11.13898266,11.22935516,10899600
24-09-2003,11.10025406,11.25775857,11.04861277,11.2448485,11325200
25-09-2003,11.11574936,11.2061219,11.07443651,11.09767505,9619200
26-09-2003,11.1105814,11.17513277,11.06926856,11.10283555,9366000
29-09-2003,11.12090874,11.23193716,11.06668583,11.10541606,9579600
30-09-2003,11.09250927,11.20353773,10.99955512,11.08992765,10289200
01-10-2003,11.33263969,11.33263969,11.10283695,11.10283695,12962800
02-10-2003,11.42559624,11.44883478,11.28358337,11.34813476,8843800
03-10-2003,11.37136841,11.73285545,11.3171455,11.65281239,9913200
06-10-2003,11.46691132,11.50047832,11.3842856,11.41268837,6665600
07-10-2003,11.53145409,11.55727423,11.40235138,11.42817152,9547800
08-10-2003,11.42301559,11.49014861,11.35329997,11.46432845,6935800
09-10-2003,11.3429718,11.49014891,11.29907634,11.48756729,10227000
10-10-2003,11.31714916,11.38428217,11.28616379,11.3068207,6999600
13-10-2003,11.397192,11.42559477,11.31456631,11.37395346,6840400
14-10-2003,11.50305462,11.55211429,11.32231058,11.36104179,8420400
15-10-2003,11.64506912,11.75351596,11.61924896,11.65798019,17331800
16-10-2003,11.61924934,11.62183097,11.49014657,11.4927282,13005400
17-10-2003,11.63215923,11.68638216,11.54436931,11.66830785,11085000
20-10-2003,11.77675629,11.78708475,11.60892227,11.67089204,8543600
21-10-2003,11.82323074,11.86970781,11.77417107,11.84646928,9734600
22-10-2003,11.70187855,11.83098136,11.65798407,11.71995286,8019800
23-10-2003,11.75352001,11.77159433,11.62183459,11.67605852,7373400
24-10-2003,11.72253227,11.72253227,11.57793681,11.63215974,7056400
27-10-2003,11.66830158,11.75867406,11.64764566,11.72252546,5982200
28-10-2003,11.71736717,11.78708278,11.55727904,11.78708278,9601000
29-10-2003,11.838727,11.93684541,11.71737103,11.71737103,12100000
30-10-2003,11.87745285,11.91360146,11.75867856,11.83872163,8750000
31-10-2003,11.98073292,11.98073292,11.81289899,11.88003197,11217600
03-11-2003,12.05302906,12.08143181,11.92909058,11.98073186,9327800
04-11-2003,12.10984135,12.13566151,12.00655873,12.00655873,8834800
05-11-2003,12.13049507,12.13307768,12.01430239,12.07627215,7830200
06-11-2003,12.14082527,12.1459895,12.05819957,12.10984088,6969200
07-11-2003,12.04012394,12.13824133,11.98073679,12.07110833,7444000
10-11-2003,12.03753948,12.08401655,11.99364502,11.99364502,4864800
11-11-2003,12.0117197,12.09434538,11.97040686,12.04012247,5364600
12-11-2003,12.15631962,12.17955718,11.95233697,11.97041128,6520200
13-11-2003,12.117589,12.14599177,12.0220532,12.04529174,6847000
14-11-2003,12.05561829,12.13308075,12.00397796,12.07627521,7043000
17-11-2003,12.05302906,12.08659604,11.94716488,11.99622355,6101200
18-11-2003,12.0065527,12.0788499,11.95749402,12.01171692,8956000
19-11-2003,12.0995121,12.10984056,12.00655795,12.03237811,8055200
20-11-2003,11.99364853,12.11500447,11.90844022,12.07111,7387000
21-11-2003,11.98590374,12.01172489,11.92909918,11.97299366,6645800
24-11-2003,11.98590374,12.10467907,11.93684503,11.97815789,7904400
25-11-2003,12.02463245,12.07885538,11.92651407,11.95491684,6966800
26-11-2003,12.11284161,12.12840783,11.98053214,12.01944721,6502000
28-11-2003,12.06354332,12.11542973,11.99090295,11.99868556,3406000
01-12-2003,12.198452,12.20623461,12.0350101,12.10246275,8321200
02-12-2003,12.19586182,12.21142805,12.07392981,12.16991909,9536000
03-12-2003,12.29703808,12.37227237,12.19326521,12.19326521,10977400
04-12-2003,12.23476982,12.29443885,12.16991205,12.25811866,8888200
05-12-2003,12.16472721,12.1932648,12.06354921,12.15434973,8945000
08-12-2003,12.38783741,12.43712897,12.09208606,12.12840626,14496200
09-12-2003,12.3904314,12.45010144,12.31260226,12.31260226,10372600
10-12-2003,12.50198364,12.55646492,12.36448548,12.36448548,10398600
11-12-2003,12.5538702,12.61353923,12.42156078,12.48901243,10501000
12-12-2003,12.80811596,12.8496249,12.51755334,12.58241113,13889800
15-12-2003,12.91707706,12.93523717,12.85481315,12.92226581,16332800
16-12-2003,13.14797306,13.20504824,12.91967333,12.96377715,17192800
17-12-2003,13.01565552,13.16093726,12.95079775,13.1142396,11163200
18-12-2003,12.95597935,13.02083708,12.81848128,12.96376295,14947200
19-12-2003,12.99749756,13.02344126,12.90929095,12.97933746,14125000
22-12-2003,13.01306629,13.01566017,12.90669956,12.98452871,9522400
23-12-2003,13.01565552,13.06235319,12.94820388,13.01046777,7370200
24-12-2003,12.945611,13.00268516,12.9274509,12.97414759,3341400
26-12-2003,12.96117973,12.99231218,12.93783089,12.95858586,2147400
29-12-2003,13.01306629,13.01306629,12.9118883,12.94301976,7101400
30-12-2003,13.1064558,13.18687978,12.96117407,12.97155155,7118600
31-12-2003,13.16613483,13.18170106,13.0753343,13.10646577,6974600
02-01-2004,13.06235218,13.22838887,12.97414559,13.17909634,7210200
05-01-2004,13.07792473,13.12462242,12.98712422,13.0623585,9740200
06-01-2004,13.02344322,13.06754604,13.00268826,13.02863196,8223200
07-01-2004,12.94042587,13.03382124,12.89891693,13.02344376,10242800
08-01-2004,13.00268269,13.01306016,12.88334465,12.9222597,9070800
09-01-2004,12.86518764,13.18169389,12.86259377,13.0026858,13127800
12-01-2004,12.9741478,12.98712014,12.82886703,12.84183838,9204400
13-01-2004,12.89631653,13.02343817,12.86518508,12.90928788,8906000
14-01-2004,12.91966915,12.93264051,12.86778273,12.89891518,7565200
15-01-2004,12.90150928,12.91707551,12.75882237,12.81589753,9990200
16-01-2004,12.94042587,12.97933995,12.8651906,12.9015108,8282800
20-01-2004,12.95339108,12.98711739,12.88075071,12.89372206,8777000
21-01-2004,12.91447353,12.96895479,12.88334209,12.92485101,7990200
22-01-2004,12.79773426,12.89372347,12.71990415,12.84961968,11138600
23-01-2004,12.9819355,13.01047309,12.80292737,12.81589972,11214600
26-01-2004,13.02084923,13.07533052,12.92745484,12.94561495,8437000
27-01-2004,12.96896076,13.12202515,12.9663659,12.98193212,8519400
28-01-2004,12.81330109,13.04678946,12.74844332,12.91966779,10017800
29-01-2004,12.86518764,13.01046941,12.73806598,12.77698104,8916600
30-01-2004,12.77438641,12.81589534,12.62132203,12.73806522,12398200
02-02-2004,12.87038136,12.96377674,12.6913732,12.71212817,8595600
03-02-2004,12.92745495,12.97155777,12.7951445,12.83146471,7749600
04-02-2004,12.90670013,12.96636918,12.81330476,12.82368224,9109400
05-02-2004,13.07014084,13.12202726,12.86259613,12.86778388,10215800
06-02-2004,13.22839355,13.23098743,13.03122534,13.03641409,10103000
09-02-2004,13.5941925,13.69277563,13.25693122,13.25693122,11581000
10-02-2004,13.53452015,13.59419017,13.4670685,13.58121783,10408000
11-02-2004,13.43853283,13.47485303,13.2595257,13.3866464,11974200
12-02-2004,13.37107944,13.41258838,13.30622167,13.31400428,6958200
13-02-2004,13.26730061,13.48522268,13.24395178,13.48522268,8566200
17-02-2004,13.26730061,13.32956448,13.20503772,13.30880952,7491600
18-02-2004,13.29325294,13.32178954,13.20764019,13.26730924,7385200
19-02-2004,13.23098373,13.32956781,13.19206868,13.26989879,9698800
20-02-2004,13.21541882,13.22320242,13.01306289,13.08829814,14664600
23-02-2004,13.05975914,13.2569263,13.03641031,13.11423942,11319600
24-02-2004,12.91447353,13.0882928,12.85221065,13.0286238,14578400
25-02-2004,12.88075447,12.98193244,12.85999951,12.86778212,10332400
26-02-2004,12.92745495,12.95858641,12.83405957,12.8781624,9824000
27-02-2004,12.96117973,13.05976385,12.61354196,12.74325753,14180400
01-03-2004,12.87297153,12.92745282,12.78995366,12.90150912,15142800
02-03-2004,12.78476524,12.8963207,12.71731359,12.81589769,12598600
03-03-2004,12.7484436,12.7925474,12.71212341,12.71212341,11588800
