date,open,high,low,close,volume,daily_return,gap_pct,close_lag1,close_lag5,close_lag10,ma_7,ma_20,ma_50,ma_200,volatility_20,volatility_30,avg_volume_20,volume_ratio_20,momentum_5d,momentum_10d,distance_from_ma20,distance_from_ma50,upper_band_20,lower_band_20,rsi_14,day_of_week,month,quarter,market_regime,next_day_close,next_day_return,target_direction,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,lm_sentiment_ma5,lm_sentiment_ma20,lm_sentiment_delta,lm_uncertainty_zscore,lm_litigation_spike,lm_neg_dominant
2009-07-15,10.671620919957189,10.895654336374282,10.642561724983906,10.882987022399902,150928920,3.174086825747713,1.1702707263111278,10.548178672790527,9.996788024902344,10.471181869506836,10.329042162214009,10.315713453292847,10.270894546508789,8.82804253578186,1.757083989355675,1.5885935651557446,124061414.4,1.2165661719233147,8.864837338653242,3.932747592631225,5.499121041656864,5.959485545484176,10.79338076268361,9.838046143902083,66.31639642203717,2,7,3,bullish,10.993016242980955,1.011020415209419,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-16,10.845979616295011,11.07125486516935,10.781899081074693,10.993016242980955,261917820,1.0110204152094182,-0.3400482425341553,10.882987022399902,10.19300365447998,10.406606674194336,10.492152622767858,10.349790334701538,10.290570697784425,8.835692448616028,1.7606980373324983,1.5929333630422529,130184085.6,2.011903519488253,7.848644183987496,5.63497388866212,6.214868972975847,6.826108734161555,10.915342740169317,9.78423792923376,65.51759210443915,3,7,3,bullish,10.686274528503418,-2.790332586594636,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-17,10.75457749428013,10.81617340072515,10.598101213227652,10.686274528503418,273889836,-2.790332586594635,-2.169002059403572,10.993016242980955,10.2926025390625,10.145812034606934,10.590650694710869,10.369896125793456,10.303873596191409,8.839384527206422,1.8916924346973212,1.6350426307086456,137714347.8,1.9888257133364573,3.824805125300945,5.326951574235661,3.050931261722295,3.7112346996702,10.953913876279014,9.7858783753079,52.76189566592584,4,7,3,bullish,10.684287071228027,-0.0185982240123954,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-20,10.677084980400709,10.7508512764365,10.58692491210454,10.684287071228027,126013860,-0.0185982240124005,-0.0859939362235143,10.686274528503418,10.538492202758787,10.17363166809082,10.660834039960587,10.382414054870605,10.320544414520263,8.841675777435302,1.8691235826921175,1.6245656147730652,135505359.0,0.9299548071748218,1.3834509307799392,5.019401328818085,2.9075416831002587,3.524452219749224,10.98271608993183,9.78211201980938,53.420290360097056,0,7,3,bullish,10.627906799316406,-0.5276933457118433,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-21,10.70341185956008,10.727255712245874,10.573761916261422,10.627906799316406,118609272,-0.5276933457118438,0.1789991995212778,10.684287071228027,10.548178672790527,9.851243019104004,10.70873464856829,10.407934474945067,10.33076250076294,8.846321601867675,1.7239560752209095,1.6121862366574384,133195271.4,0.8904916124522421,0.7558473268142629,7.883916564704152,2.113506045804522,2.8763055827827144,11.0042005015123,9.811668448377835,53.590555461363806,1,7,3,bullish,10.622692108154297,-0.0490660226945609,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-22,10.63039112405646,10.685033881375336,10.518622880292645,10.622692108154297,103364532,-0.049066022694566,0.0233754848152446,10.627906799316406,10.882987022399902,9.996788024902344,10.720763206481934,10.435268115997314,10.340553379058838,8.851385941505432,1.7184482425407286,1.607549585413716,132570097.2,0.7796971880020618,-2.391759851498987,6.261051866787648,1.796063024673619,2.728468378363893,11.017422584379784,9.853113647614842,55.08891256616561,2,7,3,bullish,10.862371444702148,2.2562956179805544,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-23,10.64728078141662,10.958492720332076,10.568297246220707,10.862371444702148,138988872,2.2562956179805527,0.2314730862193299,10.622692108154297,10.993016242980955,10.19300365447998,10.765647888183594,10.47010259628296,10.359593677520753,8.85959840297699,1.7704081353132948,1.6562294447245336,134608856.4,1.0325388367239705,-1.1884345059730572,6.566933682280896,3.746561648387762,4.853257597084832,11.06751188758354,9.87269330498238,67.04482709652189,3,7,3,bullish,11.095346450805664,2.144789535964022,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-24,10.824370251332224,11.188984049086784,10.804252857734184,11.095346450805664,144930924,2.14478953596402,-0.3498425142555603,10.862371444702148,10.686274528503418,10.2926025390625,10.795984949384415,10.508538341522216,10.387997703552246,8.872105255126954,1.795324221995848,1.690404802911336,135772491.6,1.067454255954746,3.828012477230791,7.799231619958014,5.584107800842314,6.809288637131054,11.16324834505392,9.853828337990514,69.97526467295963,4,7,3,bullish,11.047658920288086,-0.429797579814332,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-27,11.078456876595078,11.09609154141638,10.869078478452687,11.047658920288086,100075824,-0.4297975798143283,-0.1522221436299475,11.095346450805664,10.684287071228027,10.538492202758787,10.803791046142578,10.532729959487916,10.416461334228517,8.885354752540588,1.7445046870457406,1.680933054019787,134269396.2,0.7453360693670864,3.4009929407324835,4.831494940006742,4.888846128028961,6.059616272807102,11.230388324091892,9.835071594883935,79.43300548478838,0,7,3,bullish,10.92471408843994,-1.1128586855842082,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-28,10.953276357950886,10.99823240092185,10.831573413510016,10.92471408843994,101198700,-1.112858685584206,-0.8543218343198014,11.047658920288086,10.627906799316406,10.548178672790527,10.837853840419225,10.552239751815796,10.441224193572998,8.899123344421387,1.7673643144973332,1.6534979533778618,134995069.8,0.7496473771222124,2.7927163337810423,3.5696723323496826,3.529813057555404,4.630586278997358,11.271594709881748,9.832884793749844,73.08458629759204,1,7,3,bullish,10.83504867553711,-0.8207575244253951,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
