date,open,high,low,close,volume,daily_return,gap_pct,close_lag1,close_lag5,close_lag10,ma_7,ma_20,ma_50,ma_200,volatility_20,volatility_30,avg_volume_20,volume_ratio_20,momentum_5d,momentum_10d,distance_from_ma20,distance_from_ma50,upper_band_20,lower_band_20,rsi_14,market_regime,day_of_week,month,quarter,next_day_close,next_day_return,target_direction,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,lm_sentiment_ma5,lm_sentiment_ma20,lm_sentiment_delta,lm_uncertainty_zscore,lm_litigation_spike,lm_neg_dominant
1996-04-30,9.457946,9.530811,9.443373,9.501665,5520000,0.4623,0.0,9.457945,9.44337,9.487093,9.45,9.46,9.56,8.6,0.175,0.2112,6907640,0.8,0.62,0.15,0.44,-0.61,9.81,9.11,64.0,Bull,2,4,2,9.53081,0.3067,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-05-01,9.501664,9.559957,9.472518,9.53081,3995600,0.3067,0.0,9.501665,9.370512,9.34136,9.46,9.45,9.56,8.61,0.1579,0.211,6860180,0.58,1.71,2.03,0.86,-0.31,9.77,9.13,60.87,Bull,3,5,2,9.370512,-1.6819,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-05-02,9.487097,9.487097,9.355939,9.370512,6999600,-1.6819,-0.4586,9.53081,9.472522,9.268497,9.45,9.43,9.56,8.62,0.1364,0.2081,7020860,1.0,-1.08,1.1,-0.63,-1.98,9.7,9.16,47.95,Bull,4,5,2,9.297642,-0.7777,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-05-03,9.370507,9.399653,9.283069,9.297642,6925200,-0.7777,-0.0001,9.370512,9.472522,9.181051,9.44,9.41,9.55,8.63,0.1141,0.2094,7163640,0.97,-1.85,1.27,-1.19,-2.64,9.64,9.18,43.42,Bull,5,5,2,9.428801,1.4107,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-05-06,9.297643,9.428801,9.210204,9.428801,7170400,1.4107,0.0,9.297642,9.457945,9.399653,9.44,9.4,9.54,8.64,0.1028,0.205,7115460,1.01,-0.31,0.31,0.31,-1.17,9.61,9.19,47.56,Bull,1,5,2,9.487093,0.6182,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-05-07,9.428801,9.516239,9.399654,9.487093,6702800,0.6182,0.0,9.428801,9.501665,9.44337,9.44,9.39,9.54,8.65,0.1002,0.1954,7069820,0.95,-0.15,0.46,1.03,-0.55,9.59,9.19,56.58,Bull,2,5,2,9.647393,1.6897,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-05-08,9.487089,9.647393,9.355931,9.647393,8292800,1.6897,0.0,9.487093,9.53081,9.370512,9.47,9.42,9.55,8.66,0.104,0.1834,7016520,1.18,1.22,2.95,2.41,1.02,9.63,9.21,65.85,Bull,3,5,2,9.647393,0.0,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-05-09,9.647393,9.763978,9.603674,9.647393,4820400,0.0,0.0,9.647393,9.370512,9.472522,9.49,9.43,9.55,8.67,0.113,0.178,6645540,0.73,2.95,1.85,2.31,1.02,9.66,9.2,71.05,Bull,4,5,2,9.778557,1.3596,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-05-10,9.661972,9.778557,9.661972,9.778557,4942800,1.3596,0.1511,9.647393,9.297642,9.472522,9.52,9.45,9.56,8.68,0.1367,0.178,6603380,0.75,5.17,3.23,3.48,2.29,9.72,9.18,68.57,Bull,5,5,2,10.026296,2.5335,1,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.7352800000000004,2.798595,-0.400995,-4.248529157249601,0,0
1996-05-13,10.026296,10.026296,9.734834,10.026296,8275800,2.5335,2.5335,9.778557,9.428801,9.457945,9.62,9.48,9.57,8.69,0.1876,0.201,6812070,1.21,6.34,6.01,5.76,4.77,9.86,9.1,73.81,Bull,1,5,2,10.346903,3.1977,1,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.65086,2.7774900000000002,-0.37989000000000006,-2.9240383034426896,0,0
