date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
2009-01-16,8-K,0001181431-09-003017,1,1,3,2,4,0.3155,0.3155,0.9464,0.0,317
2009-01-21,8-K,0001193125-09-009009,0,1,2,2,3,0.0,0.3559,0.7117,-0.3559,281
2009-01-23,10-Q,0001193125-09-009937,150,54,106,10,25,2.3162,0.8338,1.6368,1.4824,6476
2009-02-27,8-K,0001181431-09-012161,2,4,9,2,1,0.2972,0.5944,1.3373,-0.2972,673
2009-04-22,8-K,0001193125-09-084599,0,1,2,2,3,0.0,0.3559,0.7117,-0.3559,281
2009-04-23,10-Q,0001193125-09-085781,181,76,121,12,30,2.3066,0.9685,1.542,1.3381,7847
2009-06-02,8-K,0001181431-09-028400,2,1,4,2,1,0.8333,0.4167,1.6667,0.4167,240
2009-07-21,8-K,0001193125-09-152290,0,1,2,2,3,0.0,0.3559,0.7117,-0.3559,281
2009-07-22,10-Q,0001193125-09-153165,190,83,130,15,33,2.2785,0.9953,1.5589,1.2831,8339
2009-08-04,8-K,0001181431-09-037492,0,1,2,2,1,0.0,0.5848,1.1696,-0.5848,171
2009-10-19,8-K,0001193125-09-209633,0,1,2,2,3,0.0,0.3597,0.7194,-0.3597,278
2009-10-27,10-K,0001193125-09-214859,5,1,21,1,6,0.7003,0.1401,2.9412,0.5602,714
2010-01-25,8-K,0001193125-10-012096,2,1,5,2,5,0.2861,0.1431,0.7153,0.1431,699
2010-01-25,10-Q,0001193125-10-012085,198,86,161,18,39,2.0897,0.9077,1.6992,1.1821,9475
2010-03-01,8-K,0001193125-10-044765,1,1,11,2,1,0.3185,0.3185,3.5032,0.0,314
2010-03-12,8-K,0001181431-10-016054,1,1,2,2,1,0.3831,0.3831,0.7663,0.0,261
2010-04-20,8-K,0001193125-10-087786,0,1,2,2,3,0.0,0.3774,0.7547,-0.3774,265
2010-04-21,10-Q,0001193125-10-088957,177,82,180,18,39,1.8698,0.8663,1.9015,1.0036,9466
2010-07-20,8-K,0001193125-10-161807,0,1,2,2,3,0.0,0.3831,0.7663,-0.3831,261
2010-07-21,10-Q,0001193125-10-162840,183,83,183,21,39,1.8522,0.8401,1.8522,1.0121,9880
2010-10-18,8-K,0001193125-10-230992,0,1,2,2,3,0.0,0.365,0.7299,-0.365,274
2010-10-27,10-K,0001193125-10-238044,5,1,20,1,6,0.7174,0.1435,2.8694,0.5739,697
2010-11-17,8-K,0001181431-10-056327,0,1,6,2,2,0.0,0.2488,1.4925,-0.2488,402
2011-01-18,8-K,0001193125-11-009392,0,1,2,2,3,0.0,0.3584,0.7168,-0.3584,279
2011-01-18,8-K,0001181431-11-003847,1,1,3,2,4,0.3215,0.3215,0.9646,0.0,311
2011-01-19,10-Q,0001193125-11-010144,152,85,125,19,33,2.0853,1.1661,1.7149,0.9192,7289
2011-02-24,8-K,0001193125-11-045411,1,3,2,2,1,0.266,0.7979,0.5319,-0.5319,376
2011-04-20,8-K,0001193125-11-103732,0,1,2,2,3,0.0,0.3597,0.7194,-0.3597,278
2011-04-21,10-Q,0001193125-11-104388,145,85,128,19,31,1.9814,1.1615,1.7491,0.8199,7318
2011-06-15,8-K,0001181431-11-036782,0,1,2,2,1,0.0,0.5882,1.1765,-0.5882,170
2011-07-19,8-K,0001193125-11-191368,0,1,2,2,3,0.0,0.3663,0.7326,-0.3663,273
2011-07-20,10-Q,0001193125-11-192493,153,87,146,19,30,1.8104,1.0295,1.7276,0.781,8451
2011-08-26,8-K,0001181431-11-047179,0,1,3,2,4,0.0,0.2611,0.7833,-0.2611,383
2011-10-06,8-K,0001181431-11-051976,0,1,2,2,1,0.0,0.6329,1.2658,-0.6329,158
2011-10-18,8-K,0001193125-11-273826,0,1,2,2,3,0.0,0.3636,0.7273,-0.3636,275
2011-10-26,10-K,0001193125-11-282113,5,1,21,1,6,0.7072,0.1414,2.9703,0.5658,707
2011-11-16,8-K,0001181431-11-056354,0,1,6,2,2,0.0,0.3003,1.8018,-0.3003,333
2012-01-24,8-K,0001193125-12-021833,0,1,2,2,3,0.0,0.361,0.722,-0.361,277
2012-01-25,10-Q,0001193125-12-023398,125,74,120,14,22,1.986,1.1757,1.9066,0.8103,6294
2012-02-27,8-K,0001193125-12-081892,0,3,2,2,1,0.0,0.8043,0.5362,-0.8043,373
2012-04-24,8-K,0001193125-12-178928,0,1,2,2,3,0.0,0.3623,0.7246,-0.3623,276
2012-04-25,10-Q,0001193125-12-182321,136,80,123,15,22,1.9822,1.166,1.7927,0.8162,6861
